model,price,rating,connectivity,processor,ram,storage,battery,display,camera,os,memory_card
MTR M26,₹900,5,Dual Sim,256 MHz Processor,"32 MB RAM, 32 MB inbuilt","32 MB RAM, 32 MB inbuilt",700 mAh Battery,"0.66 inches, 120 x 240 px Display",No Rear Camera,,
Oppo K13 Turbo Pro,"₹37,999",82,"Dual Sim, 3G, 4G, 5G, VoLTE, Wi-Fi, IR Blaster","Snapdragon 8s Gen4, Octa Core, 3.2 GHz Processor","8 GB RAM, 256 GB inbuilt","8 GB RAM, 256 GB inbuilt",7000 mAh Battery with 80W Fast Charging,"6.8 inches, 1280 x 2800 px, 120 Hz Display with Punch Hole",50 MP + 2 MP Dual Rear & 16 MP Front Camera,Android v15,Memory Card Not Supported
Realme C71 (6GB RAM + 128GB),"₹8,799",68,"Dual Sim, 3G, 4G, Wi-Fi","Unisoc UMS9230E, Octa Core, 1.8 GHz Processor","6 GB RAM, 128 GB inbuilt","6 GB RAM, 128 GB inbuilt",6300 mAh Battery with 15W Fast Charging,"6.75 inches, 720 x 1600 px, 90 Hz Display with Water Drop Notch",13 MP Rear & 5 MP Front Camera,Android v15,Memory Card Supported
Foneme F115 Lite,₹849,7,Dual Sim,512 MHz Processor,"32 MB RAM, 32 MB inbuilt","32 MB RAM, 32 MB inbuilt",1000 mAh Battery,"1.44 inches, 120 x 240 px Display",0.3 MP Rear Camera,,
iKall I9,"₹1,549",16,"Dual Sim, 4G",1.5 MHz Processor,"32 MB RAM, 32 MB inbuilt","32 MB RAM, 32 MB inbuilt",2500 mAh Battery,"2.4 inches, 240 x 320 px Display",0.8 MP Rear Camera,,"Memory Card Supported, upto 8 GB"
iKall I8,"₹1,449",15,"Dual Sim, 4G",1.4 MHz Processor,"32 MB RAM, 32 MB inbuilt","32 MB RAM, 32 MB inbuilt",2500 mAh Battery,"2.4 inches, 240 x 320 px Display",0.8 MP Rear Camera,,"Memory Card Supported, upto 8 GB"
Samsung Galaxy F36 5G,"₹17,499",80,"Dual Sim, 3G, 4G, 5G, VoLTE, Wi-Fi, NFC","Exynos 1380, Octa Core, 2.4 GHz Processor","6 GB RAM, 128 GB inbuilt","6 GB RAM, 128 GB inbuilt",5000 mAh Battery with 25W Fast Charging,"6.7 inches, 1080 x 2340 px, 120 Hz Display with Water Drop Notch",50 MP + 8 MP + 2 MP Triple Rear & 13 MP Front Camera,Android v15,"Memory Card (Hybrid), upto 2 TB"
Samsung Galaxy M36 5G (8GB RAM + 128GB),"₹14,430",79,"Dual Sim, 3G, 4G, 5G, VoLTE, Wi-Fi","Exynos 1380, Octa Core, 2.4 GHz Processor","8 GB RAM, 128 GB inbuilt","8 GB RAM, 128 GB inbuilt",5000 mAh Battery with 25W Fast Charging,"6.7 inches, 1080 x 2340 px, 120 Hz Display with Punch Hole",50 MP + 8 MP + 2 MP Triple Rear & 13 MP Front Camera,Android v15,Memory Card (Hybrid)
Samsung Galaxy Z Fold 7 (16GB RAM + 1TB),"₹2,16,999",97,"Dual Sim, 3G, 4G, 5G, VoLTE, Vo5G, Wi-Fi, NFC","Snapdragon 8 Elite for Galaxy, Octa Core, 4.47 GHz Processor","16 GB RAM, 1 TB inbuilt","16 GB RAM, 1 TB inbuilt",4400 mAh Battery with 25W Fast Charging,"8 inches, 1968 x 2184 px, 120 Hz Display with Punch Hole",200 MP + 12 MP + 10 MP Triple Rear & 10 MP + 10 MP Dual Front Camera,Android v16,
Samsung Galaxy Z Fold 7 (12GB RAM + 512GB),"₹1,86,999",95,"Dual Sim, 3G, 4G, 5G, VoLTE, Vo5G, Wi-Fi, NFC","Snapdragon 8 Elite for Galaxy, Octa Core, 4.47 GHz Processor","12 GB RAM, 512 GB inbuilt","12 GB RAM, 512 GB inbuilt",4400 mAh Battery with 25W Fast Charging,"8 inches, 1968 x 2184 px, 120 Hz Display with Punch Hole",200 MP + 12 MP + 10 MP Triple Rear & 10 MP + 10 MP Dual Front Camera,Android v16,
Samsung Galaxy Z Flip 7 FE (8GB RAM + 256GB),"₹89,999",90,"Dual Sim, 3G, 4G, 5G, VoLTE, Vo5G, Wi-Fi, NFC","Exynos 2400, Octa Core, 3.2 GHz Processor","8 GB RAM, 256 GB inbuilt","8 GB RAM, 256 GB inbuilt",4000 mAh Battery with 25W Fast Charging,"6.7 inches, 1080 x 2640 px, 120 Hz Display with Punch Hole",50 MP + 12 MP Dual Rear & 10 MP Front Camera,,Memory Card Not Supported
Samsung Galaxy Z Flip 7 5G (12GB RAM+512GB),"₹1,21,999",91,"Dual Sim, 3G, 4G, 5G, VoLTE, Vo5G, Wi-Fi, NFC","Exynos 2500, Deca Core, 3.3 GHz Processor","12 GB RAM, 512 GB inbuilt","12 GB RAM, 512 GB inbuilt",4300 mAh Battery with 25W Fast Charging,"6.9 inches, 1080 x 2520 px, 120 Hz Display with Punch Hole",50 MP + 12 MP Dual Rear & 10 MP Front Camera,,Memory Card Not Supported
Motorola Moto G96 5G (8GB RAM + 256GB),"₹16,960",80,"Dual Sim, 3G, 4G, 5G, VoLTE, Wi-Fi","Snapdragon 7s Gen2, Octa Core, 2.4 GHz Processor","8 GB RAM, 256 GB inbuilt","8 GB RAM, 256 GB inbuilt",5500 mAh Battery with 33W Fast Charging,"6.67 inches, 1080 x 2400 px, 144 Hz Display with Punch Hole",50 MP + 8 MP Dual Rear & 32 MP Front Camera,Android v15,Memory Card Not Supported
OnePlus Nord 5 (12GB RAM + 256GB),"₹34,998",85,"Dual Sim, 3G, 4G, 5G, VoLTE, Wi-Fi, NFC, IR Blaster","Snapdragon 8s Gen3, Octa Core, 3 GHz Processor","12 GB RAM, 256 GB inbuilt","12 GB RAM, 256 GB inbuilt",6800 mAh Battery with 80W Fast Charging,"6.83 inches, 1272 x 2800 px, 144 Hz Display with Punch Hole",50 MP + 8 MP Dual Rear & 50 MP Front Camera,Android v15,
OnePlus Nord CE 5 5G (12GB RAM + 256GB),"₹28,998",84,"Dual Sim, 3G, 4G, 5G, VoLTE, Wi-Fi, IR Blaster","Dimensity 8350 Apex, Octa Core, 3.35 GHz Processor","12 GB RAM, 256 GB inbuilt","12 GB RAM, 256 GB inbuilt",7100 mAh Battery with 80W Fast Charging,"6.77 inches, 1080 x 2392 px, 120 Hz Display with Punch Hole",50 MP + 8 MP Dual Rear & 16 MP Front Camera,Android v15,"Memory Card (Hybrid), upto 1 TB"
OnePlus Nord CE 5 5G (8GB RAM + 256GB),"₹26,998",83,"Dual Sim, 3G, 4G, 5G, VoLTE, Wi-Fi, IR Blaster","Dimensity 8350 Apex, Octa Core, 3.35 GHz Processor","8 GB RAM, 256 GB inbuilt","8 GB RAM, 256 GB inbuilt",7100 mAh Battery with 80W Fast Charging,"6.77 inches, 1080 x 2392 px, 120 Hz Display with Punch Hole",50 MP + 8 MP Dual Rear & 16 MP Front Camera,Android v15,"Memory Card (Hybrid), upto 1 TB"
Ai+ Pulse (6GB RAM +128GB),"₹6,999",71,"Dual Sim, 3G, 4G, VoLTE, Wi-Fi","Unisoc T615, Octa Core, 1.8 GHz Processor","6 GB RAM, 128 GB inbuilt","6 GB RAM, 128 GB inbuilt",5000 mAh Battery with 10W Fast Charging,"6.75 inches, 720 x 1600 px, 90 Hz Display with Water Drop Notch",50 MP Rear & 5 MP Front Camera,Android v15,"Memory Card Supported, upto 1 TB"
Ai+ Nova 5G (8GB RAM + 128GB),"₹9,999",68,"Dual Sim, 3G, 4G, 5G, VoLTE, Wi-Fi","Unisoc T8200, Octa Core Processor","8 GB RAM, 128 GB inbuilt","8 GB RAM, 128 GB inbuilt",5000 mAh Battery with 18W Fast Charging,"6.75 inches, 720 x 1600 px, 120 Hz Display with Punch Hole",50 MP Dual Rear & 5 MP Front Camera,Android v15,"Memory Card Supported, upto 1 TB"
Tecno Pova 7 Pro 5G (8GB RAM + 256GB),"₹18,749",80,"Dual Sim, 3G, 4G, 5G, VoLTE, Wi-Fi, NFC, IR Blaster","Dimensity 7300 Ultimate, Octa Core, 2.5 GHz Processor","8 GB RAM, 256 GB inbuilt","8 GB RAM, 256 GB inbuilt",6000 mAh Battery with 45W Fast Charging,"6.78 inches, 1224 x 2720 px, 144 Hz Display with Punch Hole",64 MP + 8 MP Dual Rear & 13 MP Front Camera,Android v15,
Tecno Pova 7 5G (8GB RAM + 256GB),"₹15,999",77,"Dual Sim, 3G, 4G, 5G, VoLTE, Wi-Fi, NFC, IR Blaster","Dimensity 7300 Ultimate, Octa Core, 2.5 GHz Processor","8 GB RAM, 256 GB inbuilt","8 GB RAM, 256 GB inbuilt",6000 mAh Battery with 45W Fast Charging,"6.78 inches, 1080 x 2460 px, 144 Hz Display with Punch Hole",50 MP Dual Rear & 13 MP Front Camera,Android v15,"Memory Card (Hybrid), upto 1 TB"
OPPO Reno 14 5G (12GB RAM + 512GB),"₹44,999",88,"Dual Sim, 3G, 4G, 5G, VoLTE, Wi-Fi, IR Blaster","Dimensity 8350, Octa Core, 3.35 GHz Processor","12 GB RAM, 512 GB inbuilt","12 GB RAM, 512 GB inbuilt",6000 mAh Battery with 80W Fast Charging,"6.59 inches, 1256 x 2760 px, 120 Hz Display with Punch Hole",50 MP + 50 MP + 8 MP Triple Rear & 50 MP Front Camera,Android v15,
Philips E2102,"₹1,234",8,,,"32 MB RAM, 32 MB inbuilt","32 MB RAM, 32 MB inbuilt",1000 mAh Battery,1.77 inches Display,No Rear Camera,,"Memory Card Supported, upto 32 GB"
Nothing Phone 3 (16GB RAM + 512GB),"₹56,999",91,"Dual Sim, 3G, 4G, 5G, VoLTE, Wi-Fi, NFC","Snapdragon 8s Gen4, Octa Core, 3.2 GHz Processor","16 GB RAM, 512 GB inbuilt","16 GB RAM, 512 GB inbuilt",5500 mAh Battery with 65W Fast Charging,"6.67 inches, 1260 x 2800 px, 120 Hz Display with Punch Hole",50 MP + 50 MP + 50 MP Triple Rear & 50 MP Front Camera,Android v15,
Snexian Rock 7600,₹999,11,Dual Sim,1.41 MHz Processor,"512 MB RAM, 256 MB inbuilt","512 MB RAM, 256 MB inbuilt",1000 mAh Battery,"1.8 inches, 120 x 240 px Display",0.3 MP Rear Camera,,
Vivo X200 FE (16GB RAM + 512GB),"₹59,998",90,"Dual Sim, 3G, 4G, 5G, VoLTE, Wi-Fi, NFC, IR Blaster","Dimensity 9300 Plus, Octa Core, 3.25 GHz Processor","16 GB RAM, 512 GB inbuilt","16 GB RAM, 512 GB inbuilt",6500 mAh Battery with 90W Fast Charging,"6.31 inches, 1216 x 2640 px, 120 Hz Display with Punch Hole",50 MP + 50 MP + 8 MP Triple Rear & 50 MP Front Camera,Android v15,Memory Card Not Supported
Samsung Galaxy M36 5G (8GB RAM + 256GB),"₹21,499",80,"Dual Sim, 3G, 4G, 5G, VoLTE, Wi-Fi","Exynos 1380, Octa Core, 2.4 GHz Processor","8 GB RAM, 256 GB inbuilt","8 GB RAM, 256 GB inbuilt",5000 mAh Battery with 25W Fast Charging,"6.7 inches, 1080 x 2340 px, 120 Hz Display with Punch Hole",50 MP + 8 MP + 2 MP Triple Rear & 13 MP Front Camera,Android v15,Memory Card (Hybrid)
Lava Blaze Amoled (6GB RAM + 128GB),"₹13,899",72,"Dual Sim, 3G, 4G, VoLTE, Wi-Fi","Dimensity 6300, Octa Core, 2.4 GHz Processor","6 GB RAM, 128 GB inbuilt","6 GB RAM, 128 GB inbuilt",5000 mAh Battery,"6.67 inches, 1080 x 2400 px Display with Punch Hole",64 MP + 2 MP Dual Rear & 16 MP Front Camera,Android v14,
GFive Rose 111,₹650,11,Dual Sim,770 kHz Processor,"32 MB RAM, 16 MB inbuilt","32 MB RAM, 16 MB inbuilt",1050 mAh Battery,"1.8 inches, 128 x 160 px Display",0.3 MP Rear Camera,,"Memory Card Supported, upto 16 GB"
GFive Rose 222,₹650,11,Dual Sim,770 kHz Processor,"32 MB RAM, 16 MB inbuilt","32 MB RAM, 16 MB inbuilt",1050 mAh Battery,"1.8 inches, 128 x 160 px Display",0.3 MP Rear Camera,,"Memory Card Supported, upto 16 GB"
Infinix GT 30 5G,"₹20,990",79,"Dual Sim, 3G, 4G, 5G, VoLTE, Wi-Fi, IR Blaster","Dimensity 7400, Octa Core, 2.6 GHz Processor","8 GB RAM, 128 GB inbuilt","8 GB RAM, 128 GB inbuilt",5500 mAh Battery with 45W Fast Charging,"6.78 inches, 1224 x 2720 px, 144 Hz Display with Punch Hole",64 MP + 8 MP Dual Rear & 13 MP Front Camera,Android v15,
BlackZone Crysto,₹879,7,Dual Sim,"Single Core, 500 kHz Processor","64 MB RAM, 64 MB inbuilt","64 MB RAM, 64 MB inbuilt",1100 mAh Battery,"1.8 inches, 128 x 160 px Display",No Rear Camera,,
Motorola Edge 60 Pro (16GB RAM + 512GB),"₹39,999",89,"Dual Sim, 3G, 4G, 5G, VoLTE, Vo5G, Wi-Fi, NFC","Dimensity 8350 Extreme, Octa Core, 3.35 GHz Processor","16 GB RAM, 512 GB inbuilt","16 GB RAM, 512 GB inbuilt",6000 mAh Battery with 90W Fast Charging,"6.7 inches, 1220 x 2712 px, 120 Hz Display with Punch Hole",50 MP + 50 MP + 10 MP Triple Rear & 50 MP Front Camera,Android v15,
Poco F7 5G (12GB RAM + 512GB),"₹32,999",84,"Dual Sim, 3G, 4G, 5G, VoLTE, Wi-Fi, NFC, IR Blaster","Snapdragon 8s Gen4, Octa Core, 3.2 GHz Processor","12 GB RAM, 512 GB inbuilt","12 GB RAM, 512 GB inbuilt",7550 mAh Battery with 90W Fast Charging,"6.83 inches, 1280 x 2772 px, 120 Hz Display with Punch Hole",50 MP + 8 MP Dual Rear & 20 MP Front Camera,Android v15,Memory Card Not Supported
Ai+ Pulse,"₹5,999",68,"Dual Sim, 3G, 4G, VoLTE, Wi-Fi","Unisoc T615, Octa Core, 1.8 GHz Processor","4 GB RAM, 64 GB inbuilt","4 GB RAM, 64 GB inbuilt",5000 mAh Battery with 10W Fast Charging,"6.75 inches, 720 x 1600 px, 90 Hz Display with Water Drop Notch",50 MP Rear & 5 MP Front Camera,Android v15,"Memory Card Supported, upto 1 TB"
Vivo T4 Lite 5G (8GB RAM +256GB),"₹13,499",78,"Dual Sim, 3G, 4G, 5G, VoLTE, Wi-Fi","Dimensity 6300, Octa Core, 2.4 GHz Processor","8 GB RAM, 128 GB inbuilt","8 GB RAM, 128 GB inbuilt",6000 mAh Battery with 15W Fast Charging,"6.74 inches, 720 x 1600 px, 90 Hz Display with Water Drop Notch",50 MP + 2 MP Dual Rear & 5 MP Front Camera,Android v15,"Memory Card Supported, upto 2 TB"
Vivo T4 Lite 5G (6 GB RAM +128 GB),"₹11,499",75,"Dual Sim, 3G, 4G, 5G, VoLTE, Wi-Fi","Dimensity 6300, Octa Core, 2.4 GHz Processor","6 GB RAM, 128 GB inbuilt","6 GB RAM, 128 GB inbuilt",6000 mAh Battery with 15W Fast Charging,"6.74 inches, 720 x 1600 px, 90 Hz Display with Water Drop Notch",50 MP + 2 MP Dual Rear & 5 MP Front Camera,Android v15,"Memory Card Supported, upto 2 TB"
Infinix Note 50s 5G (6GB RAM + 128GB),"₹15,999",77,"Dual Sim, 3G, 4G, 5G, VoLTE, Wi-Fi, IR Blaster","Dimensity 7300 Ultimate, Octa Core, 2.5 GHz Processor","6 GB RAM, 128 GB inbuilt","6 GB RAM, 128 GB inbuilt",5500 mAh Battery with 45W Fast Charging,"6.78 inches, 1080 x 2436 px, 144 Hz Display with Punch Hole",64 MP + 2 MP Dual Rear & 13 MP Front Camera,Android v15,
OPPO K13x 5G (8GB RAM +128GB),"₹13,948",78,"Dual Sim, 3G, 4G, 5G, VoLTE, Wi-Fi","Dimensity 6300, Octa Core, 2.4 GHz Processor","8 GB RAM, 128 GB inbuilt","8 GB RAM, 128 GB inbuilt",6000 mAh Battery with 45W Fast Charging,"6.67 inches, 720 x 1604 px, 120 Hz Display with Punch Hole",50 MP + 2 MP Dual Rear & 8 MP Front Camera,Android v15,"Memory Card (Hybrid), upto 2 TB"
Xiaomi Redmi A4 5G (6GB RAM + 128GB),"₹9,299",72,"Dual Sim, 3G, 4G, 5G, VoLTE, Wi-Fi","Snapdragon 4s Gen2, Octa Core, 2 GHz Processor","6 GB RAM, 128 GB inbuilt","6 GB RAM, 128 GB inbuilt",5160 mAh Battery with 18W Fast Charging,"6.88 inches, 720 x 1640 px, 120 Hz Display with Water Drop Notch",50 MP Dual Rear & 5 MP Front Camera,Android v14,"Memory Card Supported, upto 1 TB"
BlackZone DT 4G,"₹1,379",16,"Dual Sim, 4G, VoLTE","Single Core, 1 GHz Processor","48 MB RAM, 48 MB inbuilt","48 MB RAM, 48 MB inbuilt",1100 mAh Battery with Fast Charging,1.8 inches Display,0.3 MP Rear Camera,,"Memory Card Supported, upto 48 GB"
Gamma Shine 4G,"₹1,664",17,"Dual Sim, Wi-Fi",1 MHz Processor,"32 MB RAM, 32 MB inbuilt","32 MB RAM, 32 MB inbuilt",2500 mAh Battery with Fast Charging,"2.4 inches, 120 x 360 px Display",0.3 MP Rear Camera,,"Memory Card (Hybrid), upto 8 GB"
Vivo Y400 Pro 5G (8GB RAM + 256GB),"₹26,998",80,"Dual Sim, 3G, 4G, 5G, VoLTE, Wi-Fi, IR Blaster","Dimensity 7300, Octa Core, 2.5 GHz Processor","8 GB RAM, 256 GB inbuilt","8 GB RAM, 256 GB inbuilt",5500 mAh Battery with 90W Fast Charging,"6.77 inches, 1080 x 2392 px, 120 Hz Display with Punch Hole",50 MP + 2 MP Dual Rear & 32 MP Front Camera,Android v15,
Lava Storm Play 5G (8GB RAM + 256GB),"₹11,999",77,"Dual Sim, 3G, 4G, 5G, VoLTE, Wi-Fi","Dimensity 7060, Octa Core, 2.6 GHz Processor","8 GB RAM, 256 GB inbuilt","8 GB RAM, 256 GB inbuilt",5000 mAh Battery with 18W Fast Charging,"6.75 inches, 720 x 1600 px, 120 Hz Display with Water Drop Notch",50 MP + 2 MP Dual Rear & 8 MP Front Camera,Android v15,"Memory Card (Hybrid), upto 1 TB"
iQOO Z10 Lite 5G (8GB RAM + 256GB),"₹13,498",76,"Dual Sim, 3G, 4G, 5G, VoLTE, Wi-Fi","Dimensity 6300, Octa Core, 2.4 GHz Processor","8 GB RAM, 256 GB inbuilt","8 GB RAM, 256 GB inbuilt",6000 mAh Battery with 15W Fast Charging,"6.74 inches, 720 x 1600 px, 90 Hz Display",50 MP + 2 MP Dual Rear & 5 MP Front Camera,Android v15,
iQOO Z10 Lite 5G (6GB RAM + 128GB),"₹11,498",73,"Dual Sim, 3G, 4G, 5G, VoLTE, Wi-Fi","Dimensity 6300, Octa Core, 2.4 GHz Processor","6 GB RAM, 128 GB inbuilt","6 GB RAM, 128 GB inbuilt",6000 mAh Battery with 15W Fast Charging,"6.74 inches, 720 x 1600 px, 90 Hz Display",50 MP + 2 MP Dual Rear & 5 MP Front Camera,Android v15,
OPPO Reno 14 Pro 5G (12GB RAM + 512GB),"₹56,999",91,"Dual Sim, 3G, 4G, 5G, VoLTE, Wi-Fi, NFC, IR Blaster","Dimensity 8450, Octa Core, 3.25 GHz Processor","12 GB RAM, 512 GB inbuilt","12 GB RAM, 512 GB inbuilt",6200 mAh Battery with 80W Fast Charging,"6.83 inches, 1272 x 2800 px, 120 Hz Display with Punch Hole",50 MP + 50 MP + 50 MP Triple Rear & 50 MP Front Camera,Android v15,
OPPO Reno 14 5G (12GB RAM + 256GB),"₹41,999",87,"Dual Sim, 3G, 4G, 5G, VoLTE, Wi-Fi, IR Blaster","Dimensity 8350, Octa Core, 3.35 GHz Processor","12 GB RAM, 256 GB inbuilt","12 GB RAM, 256 GB inbuilt",6000 mAh Battery with 80W Fast Charging,"6.59 inches, 1256 x 2760 px, 120 Hz Display with Punch Hole",50 MP + 50 MP + 8 MP Triple Rear & 50 MP Front Camera,Android v15,
Tecno Spark Go 2,"₹7,499",64,"Dual Sim, 3G, 4G, VoLTE, Wi-Fi, IR Blaster","Unisoc T7250, Octa Core, 1.8 GHz Processor","4 GB RAM, 64 GB inbuilt","4 GB RAM, 64 GB inbuilt",5000 mAh Battery with 15W Fast Charging,"6.67 inches, 720 x 1600 px, 120 Hz Display with Punch Hole",13 MP Rear & 8 MP Front Camera,Android v15,"Memory Card Supported, upto 1 TB"
Realme Narzo 80 Lite (6GB RAM + 128GB),"₹10,999",74,"Dual Sim, 3G, 4G, 5G, VoLTE, Wi-Fi","Dimensity 6300, Octa Core, 2.4 GHz Processor","6 GB RAM, 128 GB inbuilt","6 GB RAM, 128 GB inbuilt",6000 mAh Battery with 15W Fast Charging,"6.67 inches, 720 x 1604 px, 120 Hz Display with Punch Hole",32 MP Dual Rear & 8 MP Front Camera,Android v15,"Memory Card (Hybrid), upto 2 TB"
OPPO K13x 5G (6GB RAM +128GB),"₹12,004",76,"Dual Sim, 3G, 4G, 5G, VoLTE, Wi-Fi","Dimensity 6300, Octa Core, 2.4 GHz Processor","6 GB RAM, 128 GB inbuilt","6 GB RAM, 128 GB inbuilt",6000 mAh Battery with 45W Fast Charging,"6.67 inches, 720 x 1604 px, 120 Hz Display with Punch Hole",50 MP + 2 MP Dual Rear & 8 MP Front Camera,Android v15,"Memory Card (Hybrid), upto 2 TB"
Snexian Bold A27,₹779,6,Dual Sim,1.77 MHz Processor,"32 MB RAM, 32 MB inbuilt","32 MB RAM, 32 MB inbuilt",600 mAh Battery,"0.66 inches, 120 x 240 px Display",No Rear Camera,,Memory Card Supported
Gamma K2 Maxx,"₹1,365",16,"Dual Sim, Wi-Fi",1 MHz Processor,"32 MB RAM, 32 MB inbuilt","32 MB RAM, 32 MB inbuilt",2500 mAh Battery with Fast Charging,"2.4 inches, 120 x 360 px Display",,,"Memory Card (Hybrid), upto 8 GB"
Snexian Bold A26,₹779,7,Dual Sim,100 kHz Processor,"32 MB RAM, 32 MB inbuilt","32 MB RAM, 32 MB inbuilt",850 mAh Battery,"0.66 inches, 120 x 240 px Display",No Rear Camera,,Memory Card Supported
Lava Storm Lite 5G (4GB RAM + 128GB),"₹8,499",72,"Dual Sim, 3G, 4G, 5G, VoLTE, Wi-Fi","Dimensity 6400, Octa Core, 2.5 GHz Processor","4 GB RAM, 128 GB inbuilt","4 GB RAM, 128 GB inbuilt",5000 mAh Battery with Fast Charging,"6.75 inches, 720 x 1600 px, 120 Hz Display with Water Drop Notch",50 MP + Ultra Wide Dual Rear & 5 MP Front Camera,Android v15,"Memory Card Supported, upto 1 TB"
BlackZone S88,"₹1,199",15,Dual Sim,512 MHz Processor,"64 MB RAM, 64 MB inbuilt","64 MB RAM, 64 MB inbuilt",3000 mAh Battery with Fast Charging,"2.4 inches, 320 x 240 px Display",0.3 MP Rear Camera,,Memory Card Supported
BlackZone Karma,₹999,10,Dual Sim,"Single Core, 500 kHz Processor","64 MB RAM, 64 MB inbuilt","64 MB RAM, 64 MB inbuilt",2500 mAh Battery,"1.8 inches, 128 x 160 px Display",0.3 MP Rear Camera,,Memory Card Supported
itel Ace 3 Young,₹799,12,No 3G,"Unisoc, Single Core, 208 MHz Processor","4 MB RAM, 4 MB inbuilt","4 MB RAM, 4 MB inbuilt",1000 mAh Battery with Fast Charging,"1.8 inches, 160 x 128 px Display",No Rear Camera,,
Vivo T4 Ultra (12GB RAM+ 256GB),"₹37,999",86,"Dual Sim, 3G, 4G, 5G, VoLTE, Wi-Fi, NFC","Dimensity 9300 Plus, Octa Core, 3.25 GHz Processor","12 GB RAM, 256 GB inbuilt","12 GB RAM, 256 GB inbuilt",5500 mAh Battery with 90W Fast Charging,"6.67 inches, 1260 x 2800 px, 120 Hz Display with Punch Hole",50 MP + 50 MP + 8 MP Triple Rear & 32 MP Front Camera,Android v15,Memory Card Not Supported
Vivo T4 Ultra (12GB RAM+ 512GB),"₹39,999",86,"Dual Sim, 3G, 4G, 5G, VoLTE, Wi-Fi, NFC","Dimensity 9300 Plus, Octa Core, 3.25 GHz Processor","12 GB RAM, 512 GB inbuilt","12 GB RAM, 512 GB inbuilt",5500 mAh Battery with 90W Fast Charging,"6.67 inches, 1260 x 2800 px, 120 Hz Display with Punch Hole",50 MP + 50 MP + 8 MP Triple Rear & 32 MP Front Camera,Android v15,Memory Card Not Supported
Philips E2103,"₹1,099",8,,,"32 MB RAM, 32 MB inbuilt","32 MB RAM, 32 MB inbuilt",1000 mAh Battery,1.77 inches Display,No Rear Camera,,"Memory Card Supported, upto 32 GB"
Philips E2112,"₹1,374",9,,,"32 MB RAM, 32 MB inbuilt","32 MB RAM, 32 MB inbuilt",2500 mAh Battery,1.77 inches Display,Main Rear Camera,,"Memory Card Supported, upto 32 GB"
Vivo Y400 Pro 5G,"₹24,998",79,"Dual Sim, 3G, 4G, 5G, VoLTE, Wi-Fi, IR Blaster","Dimensity 7300, Octa Core, 2.5 GHz Processor","8 GB RAM, 128 GB inbuilt","8 GB RAM, 128 GB inbuilt",5500 mAh Battery with 90W Fast Charging,"6.77 inches, 1080 x 2392 px, 120 Hz Display with Punch Hole",50 MP + 2 MP Dual Rear & 32 MP Front Camera,Android v15,
Ai+ Nova 5G,"₹8,999",67,"Dual Sim, 3G, 4G, 5G, VoLTE, Wi-Fi","Unisoc T8200, Octa Core Processor","6 GB RAM, 128 GB inbuilt","6 GB RAM, 128 GB inbuilt",5000 mAh Battery with 18W Fast Charging,"6.75 inches, 720 x 1600 px, 120 Hz Display with Punch Hole",50 MP Dual Rear & 5 MP Front Camera,Android v15,"Memory Card Supported, upto 1 TB"
Lava Storm Lite 5G,"₹7,999",70,"Dual Sim, 3G, 4G, 5G, VoLTE, Wi-Fi","Dimensity 6400, Octa Core, 2.5 GHz Processor","4 GB RAM, 64 GB inbuilt","4 GB RAM, 64 GB inbuilt",5000 mAh Battery with Fast Charging,"6.75 inches, 720 x 1600 px, 120 Hz Display with Water Drop Notch",50 MP + Ultra Wide Dual Rear & 5 MP Front Camera,Android v15,"Memory Card Supported, upto 1 TB"
Lava Storm Play 5G,"₹9,999",74,"Dual Sim, 3G, 4G, 5G, VoLTE, Wi-Fi","Dimensity 7060, Octa Core, 2.6 GHz Processor","6 GB RAM, 128 GB inbuilt","6 GB RAM, 128 GB inbuilt",5000 mAh Battery with 18W Fast Charging,"6.75 inches, 720 x 1600 px, 120 Hz Display with Water Drop Notch",50 MP + 2 MP Dual Rear & 8 MP Front Camera,Android v15,"Memory Card (Hybrid), upto 1 TB"
OnePlus 13s (12GB RAM + 512GB),"₹56,999",88,"Dual Sim, 3G, 4G, 5G, VoLTE, Vo5G, Wi-Fi, NFC, IR Blaster","Snapdragon 8 Elite, Octa Core, 4.32 GHz Processor","12 GB RAM, 512 GB inbuilt","12 GB RAM, 512 GB inbuilt",5850 mAh Battery with 80W Fast Charging,"6.32 inches, 1216 x 2640 px, 120 Hz Display with Punch Hole",50 MP + 50 MP Dual Rear & 32 MP Front Camera,Android v15,Memory Card Not Supported
Infinix Smart 10,"₹6,500",64,"Dual Sim, 3G, 4G, VoLTE, Wi-Fi","Unisoc T7250, Octa Core, 1.8 GHz Processor","4 GB RAM, 64 GB inbuilt","4 GB RAM, 64 GB inbuilt",5000 mAh Battery with 15W Fast Charging,"6.67 inches, 720 x 1600 px, 120 Hz Display with Punch Hole",8 MP Rear & 8 MP Front Camera,Android v15,Memory Card Supported
Infinix GT 30 Pro 5G (12GB RAM + 256GB),"₹26,999",87,"Dual Sim, 3G, 4G, 5G, VoLTE, Wi-Fi, NFC, IR Blaster","Dimensity 8350 Ultimate, Octa Core, 3.35 GHz Processor","12 GB RAM, 256 GB inbuilt","12 GB RAM, 256 GB inbuilt",5500 mAh Battery with 45W Fast Charging,"6.78 inches, 1224 x 2720 px, 144 Hz Display with Punch Hole",108 MP + 8 MP Dual Rear & 13 MP Front Camera,Android v15,
